Crossover,Mutation,Fitness
0.7,0.01,"[4, 5, 4, 2, 5]"
0.7,0.02,"[5, 5, 5, 2, 3]"
0.7,0.05,"[5, 2, 3, 2, 4]"
0.7,0.1,"[4, 6, 2, 0, 4]"
0.7,0.15,"[3, 3, 0, 2, 3]"
0.7,0.2,"[3, 3, 4, 3, 4]"
0.75,0.01,"[3, 4, 4, 4, 6]"
0.75,0.02,"[4, 4, 3, 3, 6]"
0.75,0.05,"[4, 5, 6, 5, 4]"
0.75,0.1,"[3, 3, 4, 7, 5]"
0.75,0.15,"[3, 2, 3, 2, 6]"
0.75,0.2,"[5, 0, 3, 6, 5]"
0.8,0.01,"[4, 6, 6, 4, 5]"
0.8,0.02,"[4, 3, 2, 4, 3]"
0.8,0.05,"[4, 3, 0, 3, 0]"
0.8,0.1,"[5, 3, 3, 5, 3]"
0.8,0.15,"[3, 2, 3, 2, 2]"
0.8,0.2,"[3, 3, 2, 4, 2]"
0.85,0.01,"[2, 5, 4, 4, 2]"
0.85,0.02,"[4, 3, 3, 3, 3]"
0.85,0.05,"[4, 3, 2, 3, 4]"
0.85,0.1,"[2, 4, 4, 4, 2]"
0.85,0.15,"[4, 3, 3, 3, 0]"
0.85,0.2,"[0, 0, 3, 3, 3]"
0.9,0.01,"[4, 4, 2, 5, 2]"
0.9,0.02,"[6, 3, 4, 2, 4]"
0.9,0.05,"[4, 2, 2, 2, 2]"
0.9,0.1,"[6, 6, 3, 3, 3]"
0.9,0.15,"[3, 4, 2, 2, 3]"
0.9,0.2,"[2, 3, 2, 3, 2]"
0.95,0.01,"[6, 4, 2, 4, 5]"
0.95,0.02,"[3, 4, 6, 5, 4]"
0.95,0.05,"[4, 2, 5, 2, 4]"
0.95,0.1,"[3, 6, 3, 3, 3]"
0.95,0.15,"[4, 4, 2, 4, 3]"
0.95,0.2,"[7, 2, 3, 4, 6]"
